date,monsta usd,monsta bnb,cake price,bnb price,circ. supply,burned tokens,burned %,vault syrup bars,vault usd,vault bnb,liquidity usd,liquidity bnb,trades,trade volume usd,trade volume bnb
2021-09-04,0.003640086379391263,0.0000074714,23.39165943026343,487.22307945448887,8588976203.26,1411023796.7399998,14.11,30060.18,703157.4929724162,1443.2608086977318,514843.7558287639,1056.69,698,341649.2114591873,701.2172162322629
2021-09-05,0.003207980703851776,0.0000064312,24.155351264614122,498.6916150769945,8583466948.85,1416533051.1499996,14.17,30537.85,737652.4936160962,1478.798775771953,485311.7190444787,973.17,521,134395.99779609285,269.4972077590337
2021-09-06,0.003199489673254624,0.0000063556,24.42167697094248,503.2915790901524,8581458600.10,1418541399.8999996,14.19,30686.61,749418.4767532934,1488.6829109807593,486154.50082213274,965.95,468,119338.69536429645,237.1164158558668
2021-09-07,0.003323336919881468,0.0000066984,24.505727506398216,496.22902851322254,8579977776.02,1420022223.9799995,14.20,30836.98,755682.6290002516,1523.1299379071722,490929.30248870136,989.32,675,338282.7433398564,681.7068811016615
2021-09-08,0.002962096151590393,0.0000070808,20.804330276783187,418.23545915822996,8575073608.68,1424926391.3199997,14.25,30104.19,626297.5114750336,1497.139680235202,423630.69658137107,1012.9,569,273048.8056946579,652.8590527551517
2021-09-09,0.003272005635145917,0.0000079025,20.09124520048277,414.1641378749231,8572024969.59,1427975030.4099998,14.28,30019.49,603128.9343834405,1456.6726562119368,442965.11202274525,1069.54,395,150006.2418950957,362.1903206414201
2021-09-10,0.003051059050445352,0.0000072542,20.45236975192808,420.511397934033,8569671923.33,1430328076.67,14.30,30307.26,619855.2876878198,1473.777519446293,430107.4680348877,1022.82,445,141145.56650744696,335.6521778027737
2021-09-11,0.002747324343823215,0.0000068556,19.09807984149451,400.71809185238357,8566115056.23,1433884943.7700005,14.34,30636.48,585097.9411023497,1460.036472831789,396266.11385190365,988.89,361,98132.91074559341,244.89263834322603
2021-09-12,0.002839068267865045,0.0000070269,19.573053480529985,404.1282946906774,8562577661.08,1437422338.92,14.37,30821.11,603263.2343592976,1493.1165396525853,401574.2038682324,993.68,564,353805.0375004961,875.4770258571002
2021-09-13,0.002303533391484815,0.0000055251,20.460977377991206,417.1029523311238,8557175806.03,1442824193.9700003,14.43,31263.28,639677.2648418049,1534.2996725054975,367004.71672663244,879.89,374,111024.97801938701,266.18123271217723
2021-09-14,0.002567320813903234,0.0000064189,19.430580899634503,399.85207973874833,8555189283.57,1444810716.4300003,14.45,31485.46,611780.7776922061,1529.5935923910426,378635.92838781036,946.94,474,131101.20885490003,327.8742702565352
2021-09-15,0.002011763570590137,0.0000048606,20.752933260191742,413.75202469058854,8552294536.15,1447705463.8500004,14.48,31663.51,657110.7098134138,1587.6368599212678,340128.98941714515,822.06,603,307499.2019043436,743.1968511436223
2021-09-16,0.002332559234201673,0.0000054220,22.53906689542942,430.21574461029456,8546920898.45,1453079101.5500002,14.53,32019.44,721688.3001141886,1677.544918688062,373977.94247483683,869.28,448,113076.19637232138,262.8360253870997
2021-09-17,0.001836746488158311,0.0000043228,22.324612629799418,424.46136815497647,8543295842.87,1456704157.13,14.57,32332.85,721818.3514674102,1698.8039370213555,328061.9468332998,772.89,315,73591.44515033641,173.37607299863197
2021-09-18,0.001828727727689568,0.0000045100,21.27812718459809,405.53724526994245,8541209649.37,1458790350.63,14.59,32424.74,689937.7416475252,1701.505348775671,319656.6228391267,788.23,328,68973.12265140981,170.0783921967474
2021-09-19,0.002170625502289222,0.0000052872,22.395692883242774,410.49397708533667,8539192629.08,1460807370.92,14.61,32592.25,729926.0213738693,1777.9468219163332,349691.60919945664,851.88,447,146113.43236054757,355.94537439503614
2021-09-20,0.002662231578760984,0.0000065254,22.730048497590417,407.88606643478903,8537002038.66,1462997961.3400002,14.63,32779.20,745072.8057122158,1826.260371834304,385929.5594786043,946.17,459,276446.6882470925,677.7546746409627
2021-09-21,0.002620219233464096,0.0000072197,19.060427889142144,363.0077503103811,8532601193.88,1467398806.12,14.67,33225.65,633295.1058948756,1744.9636615522488,361283.4634964068,995.25,465,147778.4941520334,407.09459791334746
2021-09-22,0.002492888098419151,0.0000072479,17.878660979627224,344.0192282991638,8529865386.90,1470134613.1000004,14.70,33472.46,598442.7644941331,1739.9414948719289,342158.08427406533,994.59,426,85896.47445702447,249.68509720139167
2021-09-23,0.002677578755665095,0.0000070704,20.240460984309465,378.89465572559817,8528447255.28,1471552744.7200003,14.72,33596.96,680017.9580714057,1795.6583731015598,372066.97402942297,981.98,523,112076.77026991393,295.7992903206367
2021-09-24,0.002730600449136164,0.0000071242,20.093200234259328,383.32816173717407,8526751111.71,1473248888.29,14.73,33715.23,677446.867334107,1767.470415104051,377528.4066500907,984.87,431,68332.349490878,178.2607079563581
2021-09-25,0.002503941839325084,0.0000070601,18.81826590394154,354.5088945876127,8524993481.22,1475006518.7799997,14.75,33936.61,638628.1508583614,1800.6615096860487,347677.5081889094,980.73,395,112885.56694124082,318.42802441545643
2021-09-26,0.002206796555330747,0.0000063023,18.487464674226263,350.02863604100975,8517604488.44,1482395511.5600004,14.82,34292.92,633989.1470760672,1810.5766713086439,318869.08686063904,910.98,485,362993.6057215068,1037.039740025665
2021-09-27,0.003423503131749682,0.0000099525,18.64388728656147,343.823973451295,8501364417.08,1498635582.92,14.99,35085.16,654123.7684709751,1901.6159350090106,379554.1607723536,1103.92,525,191712.8336607814,557.5900706875486
2021-09-28,0.003046903569152904,0.0000090597,18.415705248838215,336.2279965153939,8494996350.15,1505003649.8500004,15.05,35492.36,653616.8403456556,1943.471853100363,348648.2587066726,1036.94,432,83866.58604992727,249.43367869155867
2021-09-29,0.002872604415602801,0.0000086420,18.074488774201335,332.40472475566094,8493493053.37,1506506946.63,15.07,35658.07,644501.3859246854,1938.9357890343379,335988.0476885269,1010.78,437,203875.5749918596,613.3353704335022
2021-09-30,0.003158484235693581,0.0000086077,18.486308476168542,366.9740956832769,8491194216.74,1508805783.2600002,15.09,35919.90,664026.3518331263,1809.6448929178216,370049.33860510285,1008.38,429,87078.84155807499,237.28879662729605
2021-10-01,0.003021658123326089,0.0000078206,18.83910667352531,386.3187569914694,8487816850.35,1512183149.6499996,15.12,35303.12,665079.243588265,1721.3568686643393,368277.67103996774,953.3,433,95512.90946120741,247.2386021456279
2021-10-02,0.003127252011516744,0.0000074311,19.911772025872263,420.86068868340703,8484382420.20,1515617579.8000002,15.16,35373.76,704354.2448179193,1673.7124854399508,387991.46889723296,921.9,328,94267.8871151703,223.98834020367116
2021-10-03,0.002853947210412047,0.0000066716,19.964911295904322,427.7239603952534,8482985320.08,1517014679.92,15.17,35604.67,710844.0782699456,1661.716918626747,373428.6808626799,873.06,360,132912.90531802445,310.74458675450774
2021-10-04,0.003019020144743819,0.0000070082,19.66495790284466,430.6692844196112,8466808756.73,1533191243.2700005,15.33,36091.26,709733.1085606214,1647.530217639855,366783.80276880605,851.66,378,246029.0647336122,571.2714457107656
2021-10-05,0.003104369677497785,0.0000072754,19.308775275853847,426.66000793113886,8452140067.93,1547859932.0699997,15.48,36761.09,709811.6257054382,1663.515977054574,354801.9293953765,831.58,364,157843.215205711,369.9508092429095
2021-10-06,0.003101348553184669,0.0000069976,20.00426835989161,443.1022585074771,8449054901.72,1550945098.2799997,15.51,37046.50,741088.1277947245,1672.1250330888026,360126.92957936693,812.74,286,86862.30467136453,196.03218671000926
2021-10-07,0.002886913699718102,0.0000066292,19.805298187292685,435.58298048575836,8447489173.29,1552510826.71,15.53,37190.91,736577.0624067654,1691.401750024322,343857.9164550674,789.42,642,334944.7709637432,768.9574339893071
2021-10-08,0.003889247714457796,0.0000088745,19.47996612336927,438.35175960844543,8444119338.24,1555880661.7600002,15.56,37664.29,733699.0932607559,1674.1637411367417,399934.6113963613,912.36,421,221443.2267476368,505.17243718934617
2021-10-09,0.00409150161741208,0.0000097744,19.503073162075896,418.4709793467319,8441603304.05,1558396695.9499998,15.58,37877.64,738730.3841267724,1764.783947597735,401782.3566903842,960.12,486,142826.27081373593,341.3050793550837
2021-10-10,0.004350730796791307,0.0000103278,19.70689091948507,421.0914989434348,8440456236.35,1559543763.6499996,15.60,38219.30,753183.5761190758,1787.9135991181304,413124.447783425,981.08,579,207786.91988807023,493.44838451840195
2021-10-11,0.004158727426678836,0.0000102930,18.619175384422537,403.76184004000294,8439037599.27,1560962400.7299995,15.61,38411.98,715199.392482931,1770.1456655913553,395432.23327997763,979.37,563,214358.3349091813,530.902907733786
2021-10-12,0.004804548667949443,0.0000116516,18.776015485574288,412.36267795038793,8436957781.10,1563042218.8999996,15.63,38648.23,725659.7649700368,1759.813950704252,428304.6190799499,1038.66,979,712851.714254648,1728.7008557559432
2021-10-13,0.005835639710260793,0.0000131849,19.406597975854936,442.6250615023924,8430967156.89,1569032843.1099997,15.69,39917.22,774657.4408537562,1750.2423777923163,485236.5761732277,1096.27,1326,967984.8066203229,2186.9182086859555
2021-10-14,0.006943256195057141,0.0000147950,20.25157074388431,469.701416897146,8424765771.15,1575234228.8500004,15.75,41314.88,836691.215095091,1782.855314557404,541701.9470933094,1153.29,2201,2035024.5567018744,4332.591905183669
2021-10-15,0.010757736571314265,0.0000228268,19.94175845389062,471.5056005073655,8418013650.79,1581986349.21,15.82,43621.02,869879.8443523318,1845.7912542948504,676129.601015552,1433.98,1616,1276245.0891175496,2706.744284148992
2021-10-16,0.011762076238876304,0.0000248263,19.837926208478372,474.07824696068434,8413095899.19,1586904100.8100004,15.87,45635.55,905314.6733833251,1910.852329907295,702674.0368626567,1482.19,1593,1432610.1084098432,3021.8853482400987
